13F	0001067983	BERKSHIREHATHAWAYINC	2018-05-15
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
AMERICAN AIRLS GROUP INC	COM	02376R102	1077754		20742000	SH	DFND	4		20742000	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	1220966		23498200	SH	DFND	4,8,11		23498200	0	0
AMERICAN AIRLS GROUP INC	COM	02376R102	91439		1759800	SH	DFND	4,11		1759800	0	0
AMERICAN EXPRESS CO	COM	025816109	182096		1952142	SH	DFND	4		1952142	0	0
AMERICAN EXPRESS CO	COM	025816109	1606785		17225400	SH	DFND	4,5		17225400	0	0
AMERICAN EXPRESS CO	COM	025816109	78340		839832	SH	DFND	4,7		839832	0	0
AMERICAN EXPRESS CO	COM	025816109	191886		2057100	SH	DFND	4,8,11		2057100	0	0
AMERICAN EXPRESS CO	COM	025816109	745739		7994634	SH	DFND	4,10		7994634	0	0
AMERICAN EXPRESS CO	COM	025816109	11206834		120141879	SH	DFND	4,11		120141879	0	0
AMERICAN EXPRESS CO	COM	025816109	130565		1399713	SH	DFND	4,13		1399713	0	0
APPLE INC	COM	037833100	595242		3547753	SH	DFND	4		3547753	0	0
APPLE INC	COM	037833100	161069		960000	SH	DFND	1,2,4,11		960000	0	0
APPLE INC	COM	037833100	1017586		6065000	SH	DFND	2,4,11		6065000	0	0
APPLE INC	COM	037833100	2962491		17657000	SH	DFND	4,5		17657000	0	0
APPLE INC	COM	037833100	114258		681000	SH	DFND	4,6		681000	0	0
APPLE INC	COM	037833100	2581421		15385747	SH	DFND	4,8,11		15385747	0	0
APPLE INC	COM	037833100	509716		3038000	SH	DFND	4,5,9		3038000	0	0
APPLE INC	COM	037833100	2288519		13640000	SH	DFND	4,10		13640000	0	0
APPLE INC	COM	037833100	29692217		176971133	SH	DFND	4,11		176971133	0	0
APPLE INC	COM	037833100	113755		678000	SH	DFND	4,12		678000	0	0
APPLE INC	COM	037833100	158384		944000	SH	DFND	4,14		944000	0	0
BANK AMER CORP	COM	060505104	184738		6160000	SH	DFND	4		6160000	0	0
BANK AMER CORP	COM	060505104	356881		11900000	SH	DFND	1,2,4,11		11900000	0	0
BANK AMER CORP	COM	060505104	4198600		140000000	SH	DFND	3,4,5		140000000	0	0
BANK AMER CORP	COM	060505104	167944		5600000	SH	DFND	4,5		5600000	0	0
BANK AMER CORP	COM	060505104	62979		2100000	SH	DFND	4,6		2100000	0	0
BANK AMER CORP	COM	060505104	9350282		311780000	SH	DFND	4,8,11		311780000	0	0
BANK AMER CORP	COM	060505104	16794		560000	SH	DFND	4,5,9		560000	0	0
BANK AMER CORP	COM	060505104	4891369		163100000	SH	DFND	4,11		163100000	0	0
BANK AMER CORP	COM	060505104	839720		28000000	SH	DFND	4,12		28000000	0	0
BANK AMER CORP	COM	060505104	293902		9800000	SH	DFND	4,14		9800000	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	387055		7511249	SH	DFND	4		7511249	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	110686		2148000	SH	DFND	1,2,4,11		2148000	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	92440		1793915	SH	DFND	2,4,11		1793915	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	23549		457000	SH	DFND	4,5		457000	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	39987		776000	SH	DFND	4,6		776000	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	317445		6160384	SH	DFND	4,8,11		6160384	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	377148		7319000	SH	DFND	4,5,9		7319000	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	198620		3854463	SH	DFND	4,10		3854463	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	1547520		30031437	SH	DFND	4,11		30031437	0	0
BANK OF NEW YORK MELLON CORP	COM	064058100	110274		2140000	SH	DFND	4,12		2140000	0	0
CHARTER COMMUNICATIONS INC N	CL A	16119P108	446233		1433819	SH	DFND	4		1433819	0	0
CHARTER COMMUNICATIONS INC N	CL A	16119P108	2112889		6789054	SH	DFND	4,8,11		6789054	0	0
COCA COLA CO	COM	191216100	34744		800000	SH	DFND	4		800000	0	0
COCA COLA CO	COM	191216100	3486699		80283200	SH	DFND	4,5		80283200	0	0
COCA COLA CO	COM	191216100	79216		1824000	SH	DFND	4,6		1824000	0	0
COCA COLA CO	COM	191216100	625878		14411200	SH	DFND	4,8,11		14411200	0	0
COCA COLA CO	COM	191216100	651033		14990400	SH	DFND	4,10		14990400	0	0
COCA COLA CO	COM	191216100	12298473		283179200	SH	DFND	4,11		283179200	0	0
COCA COLA CO	COM	191216100	154263		3552000	SH	DFND	4,12		3552000	0	0
COCA COLA CO	COM	191216100	41693		960000	SH	DFND	4,13		960000	0	0
COSTCO WHSL CORP NEW	COM	22160K105	816536		4333363	SH	DFND	4,11		4333363	0	0
DAVITA HEALTHCARE PARTNERS I	COM	23918K108	1322235		20052088	SH	DFND	4		20052088	0	0
DAVITA HEALTHCARE PARTNERS I	COM	23918K108	1220779		18513482	SH	DFND	4,8,11		18513482	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	383293		6993123	SH	DFND	4,8,11		6993123	0	0
DELTA AIR LINES INC DEL	COM NEW	247361702	2554488		46606234	SH	DFND	4,11		46606234	0	0
GENERAL MTRS CO	COM	37045V100	198883		5472853	SH	DFND	4		5472853	0	0
GENERAL MTRS CO	COM	37045V100	904401		24887209	SH	DFND	4,8,11		24887209	0	0
GENERAL MTRS CO	COM	37045V100	305341		8402338	SH	DFND	4,10		8402338	0	0
GENERAL MTRS CO	COM	37045V100	408374		11237600	SH	DFND	4,11		11237600	0	0
GOLDMAN SACHS GROUP INC	COM	38141G104	1102131		4375968	SH	DFND	4,8,11		4375968	0	0
