13F	0001364742	BlackRockInc.	2018-05-09
nameOfIssuer	titleOfClass	cusip	value	shrsOrPrnAmt	sshPrnamt	sshPrnamtType	investmentDiscretion	otherManager	votingAuthority	Sole	Shared	None
VERISIGN INC	SDCV 3.250% 8/1	92343EAD4	8528		2475000	PRN	SOLE	21		2475000	0	0
NXP SEMICONDUCTORS N V	DBCV 1.000%12/0	62952QAB6	2846		2300000	PRN	SOLE	21		2300000	0	0
HERBALIFE LTD	NOTE 2.000% 8/1	42703MAB9	3259		2690000	PRN	SOLE	21		2690000	0	0
GENERAL CABLE CORP DEL NEW	FRNT 4.500%11/1	369300AL2	913		865000	PRN	SOLE	21		865000	0	0
CTRIP COM INTL LTD	NOTE 1.250%10/1	22943FAD2	1138		935000	PRN	SOLE	21		935000	0	0
CIENA CORP	NOTE 3.750%10/1	171779AJ0	864		655000	PRN	SOLE	21		655000	0	0
CAESARS ENTMT CORP	NOTE 5.000%10/0	127686AA1	4053		2325000	PRN	SOLE	21		2325000	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	5		633	SH	SOLE	18		633	0	0
1347 PPTY INS HLDGS INC	COM	68244P107	119		16690	SH	SOLE	21		16690	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	28		1282	SH	SOLE	18		1282	0	0
1ST CONSTITUTION BANCORP	COM	31986N102	561		25793	SH	SOLE	21		25793	0	0
1ST SOURCE CORP	COM	336901103	163		3229	SH	SOLE	2		674	0	2555
1ST SOURCE CORP	COM	336901103	20		386	SH	SOLE	7		386	0	0
1ST SOURCE CORP	COM	336901103	2788		55083	SH	SOLE	18		55083	0	0
1ST SOURCE CORP	COM	336901103	610		12043	SH	SOLE	19		12043	0	0
1ST SOURCE CORP	COM	336901103	25254		498890	SH	SOLE	21		498890	0	0
1ST SOURCE CORP	COM	336901103	26928		531973	SH	SOLE	22		500896	0	31077
1ST SOURCE CORP	COM	336901103	394		7787	SH	SOLE	26		0	0	7787
1ST SOURCE CORP	COM	336901103	127		2512	SH	SOLE	28		2512	0	0
1ST SOURCE CORP	COM	336901103	172		3403	SH	SOLE	30		3403	0	0
1ST SOURCE CORP	COM	336901103	77		1516	SH	SOLE	40		1516	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	101		14547	SH	SOLE	4		14547	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	5568		803412	SH	SOLE	21		803412	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	2587		373342	SH	SOLE	22		373342	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	62		8905	SH	SOLE	25		8905	0	0
21VIANET GROUP INC	SPONSORED ADR	90138A103	1114		160732	SH	SOLE	30		160732	0	0
22ND CENTY GROUP INC	COM	90137F103	45		19303	SH	SOLE	18		19303	0	0
22ND CENTY GROUP INC	COM	90137F103	646		275090	SH	SOLE	21		275090	0	0
22ND CENTY GROUP INC	COM	90137F103	3886		1653757	SH	SOLE	22		1653757	0	0
22ND CENTY GROUP INC	COM	90137F103	2025		861805	SH	SOLE	26		162121	0	699684
2U INC	COM	90214J101	197		2345	SH	SOLE	2		2034	0	311
2U INC	COM	90214J101	17		206	SH	SOLE	4		206	0	0
2U INC	COM	90214J101	93		1110	SH	SOLE	7		1110	0	0
2U INC	COM	90214J101	12843		152840	SH	SOLE	18		152840	0	0
2U INC	COM	90214J101	3139		37359	SH	SOLE	19		37359	0	0
2U INC	COM	90214J101	122228		1454574	SH	SOLE	21		1454574	0	0
2U INC	COM	90214J101	120675		1436092	SH	SOLE	22		1349255	0	86837
2U INC	COM	90214J101	1529		18198	SH	SOLE	26		11851	0	6347
2U INC	COM	90214J101	607		7225	SH	SOLE	28		7225	0	0
2U INC	COM	90214J101	870		10358	SH	SOLE	30		10358	0	0
